Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
DataTech Solutions,Influencer,Men 25-34,15 days,0.13,7134.85,5.74,Boston,Spanish,1370,15459,3,Fashionistas,2022-07-01
Alpha Innovations,Search,Men 18-24,15 days,0.14,15892.81,6.31,Washington,Mandarin,1893,17060,5,Tech Enthusiasts,2022-07-11
Alpha Innovations,Email,Women 35-44,15 days,0.06,8200.12,3.64,Seattle,English,1887,6044,4,Outdoor Adventurers,2022-07-07
Innovate Industries,Social Media,Women 25-34,60 days,0.11,5889.82,2.71,Seattle,German,981,4383,5,Health & Wellness,2022-07-05
NexGen Systems,Search,Women 25-34,45 days,0.01,17637.48,3.94,Miami,Spanish,280,11080,4,Foodies,2022-07-23
NexGen Systems,Display,Men 18-24,15 days,0.04,13204.02,4.24,Chicago,French,1214,5371,8,Tech Enthusiasts,2022-07-28
DataTech Solutions,Influencer,Men 25-34,15 days,0.1,16632.6,3.42,Seattle,Spanish,928,9801,5,Health & Wellness,2022-07-11
DataTech Solutions,Social Media,All Ages,45 days,0.08,14379.16,6.94,Nueva Orleans,German,1554,6951,2,Health & Wellness,2022-07-30
NexGen Systems,Display,Women 25-34,60 days,0.05,11952.99,5.75,Boston,English,217,3877,2,Fashionistas,2022-07-09
Innovate Industries,Search,Women 25-34,60 days,0.05,18175.5,5.26,San Francisco,French,993,14924,7,Health & Wellness,2022-07-26
NexGen Systems,Social Media,Men 25-34,15 days,0.03,19494.13,3.27,Las Vegas,German,1097,9251,9,Fashionistas,2022-07-05
TechCorp,Influencer,Men 25-34,30 days,0.12,17043.23,4.73,Los Angeles,French,1254,19819,3,Outdoor Adventurers,2022-07-01
TechCorp,Search,Women 35-44,45 days,0.09,19960.78,7.37,New York,German,274,2666,1,Outdoor Adventurers,2022-07-23
NexGen Systems,Influencer,Men 25-34,15 days,0.02,10684.83,7.63,Miami,Mandarin,1021,6845,7,Health & Wellness,2022-07-07
Innovate Industries,Influencer,Men 18-24,30 days,0.09,14076.64,2.67,Las Vegas,English,183,5217,2,Outdoor Adventurers,2022-07-14
DataTech Solutions,Social Media,All Ages,15 days,0.13,16588.42,4.82,Boston,German,938,7136,9,Tech Enthusiasts,2022-07-18
Innovate Industries,Email,Men 25-34,45 days,0.05,15815.52,2.28,New York,Spanish,1810,4583,8,Tech Enthusiasts,2022-07-15
Innovate Industries,Display,Men 18-24,30 days,0.12,17486.92,7.57,Washington,Mandarin,717,18431,9,Fashionistas,2022-07-10
Innovate Industries,Influencer,All Ages,15 days,0.04,18586.66,4.52,Boston,English,477,14189,7,Foodies,2022-07-28
NexGen Systems,Social Media,Men 18-24,15 days,0.14,5759.14,6.22,New York,Spanish,1013,2694,5,Health & Wellness,2022-07-20
Innovate Industries,Influencer,All Ages,30 days,0.05,10787.75,5.69,Seattle,German,1919,16640,8,Tech Enthusiasts,2022-07-27
DataTech Solutions,Influencer,All Ages,45 days,0.04,13676.89,2.07,Nueva Orleans,English,630,6655,5,Foodies,2022-07-10
DataTech Solutions,Social Media,Women 35-44,15 days,0.13,6169.31,7.06,Chicago,Spanish,842,1807,1,Fashionistas,2022-07-21
Innovate Industries,Email,All Ages,30 days,0.03,9782.77,2.04,Chicago,German,250,17427,5,Fashionistas,2022-07-03
Innovate Industries,Search,Women 35-44,60 days,0.12,6296.37,5.29,Miami,Mandarin,1834,8566,10,Tech Enthusiasts,2022-07-08
NexGen Systems,Email,Men 25-34,30 days,0.05,5722.99,5.09,San Francisco,Mandarin,1092,12190,2,Foodies,2022-07-24
DataTech Solutions,Display,Women 35-44,30 days,0.13,18420.98,2.75,New York,French,1102,14499,7,Fashionistas,2022-07-26
Innovate Industries,Display,Men 18-24,45 days,0.12,17160.87,7.59,Seattle,English,1016,2908,6,Fashionistas,2022-07-10
NexGen Systems,Display,Men 25-34,30 days,0.04,5378.29,2.21,Chicago,French,266,14788,1,Fashionistas,2022-07-18
TechCorp,Social Media,Women 35-44,45 days,0.12,15844.15,4.81,Nueva Orleans,German,1935,12677,6,Foodies,2022-07-15
Innovate Industries,Influencer,Men 18-24,60 days,0.06,14144.5,3.28,Las Vegas,English,1072,9403,6,Outdoor Adventurers,2022-07-07
Alpha Innovations,Search,All Ages,30 days,0.09,11163.91,4.93,Las Vegas,German,1592,14337,6,Tech Enthusiasts,2022-07-10
Innovate Industries,Email,Men 25-34,30 days,0.02,18800.81,5.83,Miami,French,275,2217,9,Fashionistas,2022-07-02
TechCorp,Influencer,Women 25-34,45 days,0.1,16537.03,2.77,Nueva Orleans,English,392,9325,5,Foodies,2022-07-25
Innovate Industries,Email,Women 35-44,30 days,0.08,12586.22,7.95,Boston,English,1148,11476,3,Health & Wellness,2022-07-28
TechCorp,Search,Men 25-34,15 days,0.04,5030.35,4.81,Los Angeles,Mandarin,402,14170,9,Fashionistas,2022-07-18
Alpha Innovations,Email,Women 35-44,60 days,0.15,11546.68,2.29,Las Vegas,French,893,13184,6,Outdoor Adventurers,2022-07-09
Innovate Industries,Influencer,Men 25-34,30 days,0.05,17909.38,3.04,Miami,Mandarin,1735,1916,6,Foodies,2022-07-23
Alpha Innovations,Display,Women 25-34,30 days,0.13,6070.94,7.08,Seattle,Spanish,1030,10663,7,Fashionistas,2022-07-04
DataTech Solutions,Influencer,All Ages,30 days,0.08,9532.35,5.04,Chicago,Spanish,1027,6073,3,Tech Enthusiasts,2022-07-28
Alpha Innovations,Email,All Ages,30 days,0.11,16157.05,4.11,Washington,German,1112,6443,9,Outdoor Adventurers,2022-07-15
TechCorp,Search,Men 18-24,15 days,0.05,19484.3,6.48,Los Angeles,French,486,3537,4,Foodies,2022-07-04
DataTech Solutions,Email,Men 18-24,30 days,0.11,17377.72,5.11,Las Vegas,Mandarin,279,16508,4,Outdoor Adventurers,2022-07-04
NexGen Systems,Display,All Ages,15 days,0.13,9676.23,4.07,Washington,Spanish,640,8913,5,Outdoor Adventurers,2022-07-28
DataTech Solutions,Influencer,All Ages,45 days,0.07,15005.92,3.16,Boston,English,1748,16318,7,Foodies,2022-07-24
NexGen Systems,Search,Women 35-44,30 days,0.02,13042.36,7.04,San Francisco,German,144,7147,1,Fashionistas,2022-07-20
TechCorp,Influencer,Women 25-34,15 days,0.04,6259.9,6.58,Miami,French,1580,10612,10,Health & Wellness,2022-07-21
DataTech Solutions,Influencer,Men 25-34,60 days,0.04,18275.89,2.45,Los Angeles,Mandarin,1107,7138,3,Tech Enthusiasts,2022-07-19
NexGen Systems,Search,Men 18-24,30 days,0.12,16947.35,7.07,Miami,French,786,2048,4,Fashionistas,2022-07-02
TechCorp,Search,Men 18-24,45 days,0.03,19941.85,2.56,Las Vegas,French,605,8506,6,Fashionistas,2022-07-11
TechCorp,Social Media,Men 25-34,15 days,0.12,13638.55,6.32,Chicago,English,362,4451,4,Fashionistas,2022-07-08
Alpha Innovations,Social Media,Women 25-34,30 days,0.1,12118.97,7.12,New York,French,601,7072,3,Outdoor Adventurers,2022-07-08
NexGen Systems,Search,Men 25-34,45 days,0.12,13483.6,4.99,Miami,German,1075,1823,10,Fashionistas,2022-07-23
TechCorp,Social Media,Men 18-24,45 days,0.06,6237.05,2.19,San Francisco,French,189,3231,6,Tech Enthusiasts,2022-07-23
Alpha Innovations,Display,Women 35-44,45 days,0.04,12354.17,3.34,Chicago,Spanish,1387,8160,7,Foodies,2022-07-10
TechCorp,Social Media,Women 25-34,60 days,0.1,17184.6,7.56,Boston,French,1276,3484,3,Foodies,2022-07-21
Innovate Industries,Display,Men 25-34,30 days,0.05,14495.24,2.07,Washington,French,944,14148,4,Foodies,2022-07-01
DataTech Solutions,Email,Men 25-34,30 days,0.07,12651.8,5.27,Las Vegas,English,1572,5565,7,Health & Wellness,2022-07-10
Innovate Industries,Social Media,Women 35-44,15 days,0.02,12553.63,2.66,Los Angeles,Spanish,814,12791,7,Health & Wellness,2022-07-22
NexGen Systems,Social Media,Men 25-34,15 days,0.08,5291.01,5.72,Los Angeles,Mandarin,1011,9193,8,Tech Enthusiasts,2022-07-02
DataTech Solutions,Display,Men 25-34,45 days,0.13,9318.43,5.18,Chicago,German,973,6542,10,Tech Enthusiasts,2022-07-08
NexGen Systems,Display,Women 35-44,45 days,0.14,13172.09,6.45,San Francisco,Spanish,1790,18678,5,Health & Wellness,2022-07-16
TechCorp,Influencer,Women 35-44,15 days,0.04,8526.06,3.0,Boston,Mandarin,1343,12373,6,Tech Enthusiasts,2022-07-21
DataTech Solutions,Influencer,Women 25-34,60 days,0.07,11910.25,3.52,Las Vegas,English,813,3556,8,Foodies,2022-07-28
DataTech Solutions,Social Media,Women 35-44,15 days,0.12,7268.04,7.52,Boston,French,668,17046,6,Tech Enthusiasts,2022-07-10
NexGen Systems,Influencer,Women 35-44,15 days,0.03,15623.67,3.72,New York,Mandarin,535,1626,2,Outdoor Adventurers,2022-07-24
DataTech Solutions,Influencer,Men 18-24,60 days,0.03,7656.08,3.7,Boston,German,1948,9945,10,Health & Wellness,2022-07-14
Innovate Industries,Influencer,Men 18-24,30 days,0.12,7378.02,4.58,Washington,Spanish,1970,10504,7,Tech Enthusiasts,2022-07-28
NexGen Systems,Influencer,Men 25-34,15 days,0.03,10686.11,4.2,Boston,French,1458,4723,3,Tech Enthusiasts,2022-07-13
Innovate Industries,Influencer,Women 35-44,30 days,0.04,12622.44,3.71,Seattle,French,465,9790,10,Tech Enthusiasts,2022-07-26
Innovate Industries,Display,All Ages,45 days,0.13,19244.68,3.22,San Francisco,Mandarin,1602,4792,10,Foodies,2022-07-24
DataTech Solutions,Search,Women 25-34,30 days,0.06,19273.43,7.27,Las Vegas,Spanish,1401,14504,2,Outdoor Adventurers,2022-07-27
TechCorp,Social Media,Men 18-24,30 days,0.1,5247.82,4.73,San Francisco,Spanish,564,12793,8,Outdoor Adventurers,2022-07-29
TechCorp,Influencer,Men 18-24,60 days,0.05,6588.08,7.89,San Francisco,French,458,7110,3,Health & Wellness,2022-07-17
Innovate Industries,Display,All Ages,15 days,0.14,9322.29,6.62,New York,French,1119,19648,1,Foodies,2022-07-24
Innovate Industries,Display,All Ages,60 days,0.14,15208.72,3.31,Boston,Mandarin,1290,5002,10,Health & Wellness,2022-07-10
Innovate Industries,Email,Men 18-24,30 days,0.02,12839.64,2.66,Nueva Orleans,English,652,3919,5,Outdoor Adventurers,2022-07-21
DataTech Solutions,Influencer,Men 18-24,60 days,0.05,10264.57,3.48,Las Vegas,Mandarin,466,12568,1,Fashionistas,2022-07-10
DataTech Solutions,Influencer,Women 25-34,60 days,0.1,10830.64,4.7,Nueva Orleans,Mandarin,207,5401,4,Health & Wellness,2022-07-15
TechCorp,Email,Men 18-24,45 days,0.04,14349.98,4.39,Miami,Mandarin,853,15577,10,Health & Wellness,2022-07-04
TechCorp,Social Media,Women 35-44,15 days,0.1,17847.13,5.69,New York,Mandarin,1272,17485,8,Foodies,2022-07-10
NexGen Systems,Social Media,Women 25-34,45 days,0.1,12642.29,5.4,New York,French,754,7440,3,Outdoor Adventurers,2022-07-21
DataTech Solutions,Email,Men 18-24,60 days,0.09,13529.71,6.13,New York,Mandarin,972,10840,9,Outdoor Adventurers,2022-07-16
DataTech Solutions,Display,Women 35-44,30 days,0.03,14644.53,5.24,Chicago,German,1621,16260,8,Outdoor Adventurers,2022-07-20
NexGen Systems,Influencer,Men 25-34,60 days,0.02,18374.53,5.99,Washington,English,441,13211,6,Health & Wellness,2022-07-24
Alpha Innovations,Email,Women 35-44,45 days,0.11,10790.77,4.91,Boston,English,1411,19280,2,Tech Enthusiasts,2022-07-13
Innovate Industries,Display,Women 35-44,15 days,0.12,8284.46,2.01,Washington,English,605,2750,2,Tech Enthusiasts,2022-07-28
NexGen Systems,Search,Men 25-34,15 days,0.12,5995.86,7.0,Miami,German,1298,10855,10,Fashionistas,2022-07-22
DataTech Solutions,Search,Women 25-34,30 days,0.1,9807.75,4.21,New York,German,832,18931,9,Tech Enthusiasts,2022-07-07
Innovate Industries,Email,Men 25-34,30 days,0.06,13288.62,6.1,Los Angeles,French,981,17024,1,Tech Enthusiasts,2022-07-22
TechCorp,Display,All Ages,60 days,0.03,12409.98,2.42,Washington,French,1917,17387,10,Health & Wellness,2022-07-24
Alpha Innovations,Search,All Ages,60 days,0.02,16986.5,3.81,Chicago,Mandarin,1060,4120,8,Outdoor Adventurers,2022-07-06
Innovate Industries,Influencer,Men 25-34,45 days,0.03,16849.69,2.89,Washington,French,1360,15181,10,Tech Enthusiasts,2022-07-28
Alpha Innovations,Social Media,All Ages,30 days,0.06,13271.2,5.19,San Francisco,French,1021,19429,3,Tech Enthusiasts,2022-07-28
NexGen Systems,Social Media,All Ages,30 days,0.02,15483.67,7.81,Nueva Orleans,French,832,18701,9,Fashionistas,2022-07-04
Innovate Industries,Social Media,Women 35-44,60 days,0.08,15485.5,3.04,Chicago,English,933,10221,3,Foodies,2022-07-19
DataTech Solutions,Email,Women 35-44,60 days,0.07,16594.57,5.22,Boston,Spanish,1374,6920,1,Health & Wellness,2022-07-04
DataTech Solutions,Influencer,All Ages,60 days,0.1,9358.98,3.97,New York,German,1752,12943,1,Outdoor Adventurers,2022-07-28
DataTech Solutions,Social Media,Women 35-44,15 days,0.03,19125.03,2.42,New York,German,1500,16621,4,Health & Wellness,2022-07-24
Alpha Innovations,Social Media,Women 35-44,45 days,0.02,10978.19,3.97,New York,English,1490,6311,7,Tech Enthusiasts,2022-07-04
DataTech Solutions,Social Media,Women 25-34,60 days,0.03,17665.33,5.2,Nueva Orleans,Spanish,1174,18969,2,Health & Wellness,2022-07-06
Alpha Innovations,Social Media,Women 35-44,15 days,0.05,12867.01,7.39,San Francisco,Spanish,249,13161,1,Foodies,2022-07-07
DataTech Solutions,Social Media,All Ages,60 days,0.14,6522.99,4.47,Chicago,German,1820,6916,6,Fashionistas,2022-07-07
Innovate Industries,Display,Men 25-34,45 days,0.09,13206.5,3.5,Nueva Orleans,French,1350,19513,6,Tech Enthusiasts,2022-07-08
TechCorp,Display,Men 18-24,60 days,0.03,17798.19,5.43,Boston,German,999,13369,8,Outdoor Adventurers,2022-07-29
Alpha Innovations,Display,Women 35-44,45 days,0.13,15989.94,5.42,Nueva Orleans,Spanish,393,2285,4,Health & Wellness,2022-07-21
Alpha Innovations,Email,All Ages,60 days,0.1,15651.99,3.95,Chicago,German,1312,1045,5,Health & Wellness,2022-07-30
TechCorp,Search,Women 25-34,60 days,0.14,9215.7,3.81,Los Angeles,German,1185,8252,5,Tech Enthusiasts,2022-07-15
TechCorp,Display,All Ages,30 days,0.03,5815.37,4.88,Washington,Mandarin,840,14608,9,Tech Enthusiasts,2022-07-25
DataTech Solutions,Email,Men 18-24,60 days,0.08,8899.18,5.94,Nueva Orleans,Mandarin,1297,4871,7,Fashionistas,2022-07-18
Alpha Innovations,Search,Men 18-24,15 days,0.07,12367.31,2.13,Nueva Orleans,Mandarin,158,10853,9,Tech Enthusiasts,2022-07-23
DataTech Solutions,Social Media,All Ages,45 days,0.04,6854.69,6.93,Los Angeles,English,1613,16884,8,Health & Wellness,2022-07-06
DataTech Solutions,Search,Men 18-24,45 days,0.09,14503.1,6.77,Los Angeles,Spanish,1845,9701,10,Tech Enthusiasts,2022-07-02
Alpha Innovations,Search,All Ages,15 days,0.12,13400.33,7.34,Washington,German,257,14688,10,Outdoor Adventurers,2022-07-14
Alpha Innovations,Email,All Ages,45 days,0.08,10339.38,2.6,Las Vegas,Mandarin,1432,17157,1,Health & Wellness,2022-07-26
NexGen Systems,Search,Men 18-24,15 days,0.07,17106.14,3.33,San Francisco,Mandarin,1242,19834,2,Fashionistas,2022-07-28
Alpha Innovations,Search,Men 25-34,30 days,0.09,6012.42,7.53,Boston,Mandarin,1047,3610,7,Health & Wellness,2022-07-09
DataTech Solutions,Email,Men 18-24,15 days,0.05,18985.95,2.29,Seattle,French,1091,6035,1,Fashionistas,2022-07-28
TechCorp,Influencer,Men 18-24,30 days,0.09,15107.63,3.01,New York,French,1825,10812,1,Foodies,2022-07-25
TechCorp,Search,All Ages,45 days,0.03,15802.04,4.27,Nueva Orleans,English,498,10915,5,Tech Enthusiasts,2022-07-17
Innovate Industries,Display,Women 35-44,30 days,0.05,10554.63,5.08,Las Vegas,German,1749,3038,10,Fashionistas,2022-07-10
NexGen Systems,Display,All Ages,60 days,0.09,8483.01,7.46,Miami,English,848,12682,7,Outdoor Adventurers,2022-07-19
Innovate Industries,Display,Women 35-44,30 days,0.08,12304.82,2.79,Chicago,Mandarin,510,17105,2,Outdoor Adventurers,2022-07-19
Innovate Industries,Email,Men 18-24,15 days,0.08,10280.39,5.6,Las Vegas,Spanish,1800,14209,9,Foodies,2022-07-24
DataTech Solutions,Social Media,Men 25-34,60 days,0.08,14993.44,3.5,Boston,German,247,18588,3,Foodies,2022-07-12
DataTech Solutions,Search,Men 18-24,30 days,0.05,11359.98,4.93,Washington,Spanish,823,8738,3,Tech Enthusiasts,2022-07-12
DataTech Solutions,Social Media,Women 25-34,60 days,0.13,11289.79,3.39,Seattle,Spanish,924,16446,3,Tech Enthusiasts,2022-07-27
TechCorp,Influencer,Women 25-34,60 days,0.14,9822.8,7.3,New York,German,1456,12829,5,Fashionistas,2022-07-13
DataTech Solutions,Social Media,Women 25-34,30 days,0.15,9296.03,6.84,San Francisco,French,196,12193,10,Tech Enthusiasts,2022-07-17
Alpha Innovations,Email,Men 25-34,45 days,0.02,12200.62,2.26,Las Vegas,French,234,4476,10,Outdoor Adventurers,2022-07-17
Alpha Innovations,Influencer,Women 35-44,45 days,0.08,17550.26,5.98,Washington,German,1453,14890,2,Health & Wellness,2022-07-10
NexGen Systems,Influencer,Women 35-44,15 days,0.05,8468.01,4.58,Miami,Mandarin,1592,11213,5,Outdoor Adventurers,2022-07-14
Alpha Innovations,Display,Men 18-24,30 days,0.06,18419.07,3.74,New York,Mandarin,577,9566,9,Outdoor Adventurers,2022-07-21
TechCorp,Influencer,Men 18-24,45 days,0.02,6596.37,7.61,Nueva Orleans,German,1597,7090,9,Outdoor Adventurers,2022-07-26
Alpha Innovations,Display,Women 35-44,30 days,0.12,9218.75,3.22,Las Vegas,Mandarin,1225,3081,4,Health & Wellness,2022-07-29
DataTech Solutions,Display,Men 18-24,45 days,0.09,10170.3,2.99,Chicago,French,411,4850,3,Health & Wellness,2022-07-21
DataTech Solutions,Email,All Ages,45 days,0.03,19824.16,5.27,Las Vegas,Spanish,1720,10590,9,Foodies,2022-07-29
DataTech Solutions,Email,Women 25-34,60 days,0.06,17519.84,6.4,Washington,German,1054,13679,10,Fashionistas,2022-07-17
TechCorp,Search,Women 25-34,15 days,0.07,11699.82,6.86,Nueva Orleans,Spanish,725,4689,7,Outdoor Adventurers,2022-07-11
Innovate Industries,Email,Women 35-44,30 days,0.03,10016.03,7.48,Chicago,English,1746,19582,4,Tech Enthusiasts,2022-07-23
NexGen Systems,Email,Women 25-34,30 days,0.13,13327.02,5.95,San Francisco,Mandarin,1038,2595,10,Foodies,2022-07-17
DataTech Solutions,Email,Men 18-24,45 days,0.04,17488.97,7.09,Seattle,Spanish,1086,19326,7,Fashionistas,2022-07-05
Innovate Industries,Display,All Ages,30 days,0.13,10236.53,2.4,Chicago,English,232,13344,2,Outdoor Adventurers,2022-07-18
Alpha Innovations,Search,Women 25-34,15 days,0.1,8646.84,2.25,Las Vegas,German,137,18669,8,Tech Enthusiasts,2022-07-12
NexGen Systems,Email,Women 35-44,60 days,0.05,13134.18,3.22,Washington,English,677,10709,9,Foodies,2022-07-21
Alpha Innovations,Social Media,Women 35-44,60 days,0.11,11944.5,5.13,Boston,French,1193,11569,7,Foodies,2022-07-09
DataTech Solutions,Influencer,Women 25-34,30 days,0.08,6824.35,4.33,Chicago,Mandarin,1506,18357,4,Tech Enthusiasts,2022-07-10
TechCorp,Search,Women 25-34,15 days,0.11,14771.21,4.19,Los Angeles,Spanish,457,12269,2,Foodies,2022-07-04
DataTech Solutions,Email,Women 25-34,15 days,0.11,11096.29,5.52,Boston,German,324,14481,1,Fashionistas,2022-07-20
DataTech Solutions,Influencer,Women 25-34,30 days,0.06,5033.03,2.45,New York,English,798,10425,5,Tech Enthusiasts,2022-07-07
Innovate Industries,Display,Men 25-34,45 days,0.07,16542.41,5.65,Las Vegas,English,1821,2684,7,Outdoor Adventurers,2022-07-27
Innovate Industries,Influencer,Women 25-34,30 days,0.09,12070.99,7.26,San Francisco,German,610,17152,5,Fashionistas,2022-07-18
TechCorp,Social Media,Men 25-34,60 days,0.13,9292.32,3.32,Nueva Orleans,French,1833,2246,4,Tech Enthusiasts,2022-07-16
DataTech Solutions,Social Media,Men 25-34,45 days,0.01,8125.94,2.84,New York,French,1308,12408,1,Tech Enthusiasts,2022-07-18
TechCorp,Search,All Ages,60 days,0.08,10226.41,2.65,New York,German,1962,14309,7,Fashionistas,2022-07-20
TechCorp,Email,Men 18-24,15 days,0.04,18599.08,2.68,Las Vegas,Spanish,435,13421,7,Foodies,2022-07-17
DataTech Solutions,Email,Men 25-34,15 days,0.04,9386.36,6.48,San Francisco,French,1861,19951,10,Fashionistas,2022-07-22
NexGen Systems,Display,Women 25-34,30 days,0.08,12148.05,3.75,Miami,English,1732,18012,9,Outdoor Adventurers,2022-07-12
Alpha Innovations,Social Media,Women 35-44,45 days,0.08,5426.79,4.17,New York,German,787,15050,10,Tech Enthusiasts,2022-07-17
DataTech Solutions,Display,All Ages,45 days,0.07,7694.84,3.49,Chicago,Spanish,522,17610,8,Tech Enthusiasts,2022-07-06
Alpha Innovations,Influencer,All Ages,45 days,0.08,9758.53,3.76,Nueva Orleans,German,337,16880,3,Foodies,2022-07-30
Innovate Industries,Display,Women 25-34,60 days,0.07,11690.42,4.47,San Francisco,French,1180,3274,5,Tech Enthusiasts,2022-07-15
Innovate Industries,Search,Men 18-24,15 days,0.02,16674.22,6.92,Los Angeles,Mandarin,901,13267,1,Outdoor Adventurers,2022-07-11
NexGen Systems,Email,Women 25-34,30 days,0.07,10086.74,5.95,Las Vegas,Mandarin,1955,15026,6,Health & Wellness,2022-07-27
TechCorp,Search,Men 25-34,15 days,0.1,13227.69,6.62,New York,Spanish,374,17737,9,Foodies,2022-07-22
Innovate Industries,Display,Women 35-44,30 days,0.07,18088.46,2.75,San Francisco,English,483,14034,1,Health & Wellness,2022-07-04
TechCorp,Display,All Ages,30 days,0.05,19203.73,6.95,Nueva Orleans,German,1055,10614,1,Foodies,2022-07-29
Alpha Innovations,Search,All Ages,45 days,0.04,7225.87,2.35,San Francisco,German,1105,10100,8,Tech Enthusiasts,2022-07-24
Innovate Industries,Search,Women 25-34,30 days,0.04,6712.97,3.91,Seattle,German,555,11542,4,Health & Wellness,2022-07-04
Innovate Industries,Social Media,All Ages,45 days,0.14,6247.58,5.25,Los Angeles,Spanish,170,15628,4,Tech Enthusiasts,2022-07-20
DataTech Solutions,Search,Women 35-44,30 days,0.03,19923.47,3.03,Miami,Spanish,1539,1250,1,Outdoor Adventurers,2022-07-24
Alpha Innovations,Social Media,Women 25-34,30 days,0.04,12033.67,5.63,Seattle,German,1084,15367,9,Tech Enthusiasts,2022-07-26
DataTech Solutions,Email,Women 25-34,30 days,0.15,17083.5,6.32,Seattle,English,1742,1981,4,Tech Enthusiasts,2022-07-29
Innovate Industries,Search,Women 35-44,30 days,0.15,18598.67,7.72,Miami,English,1635,17127,2,Foodies,2022-07-12
DataTech Solutions,Display,All Ages,30 days,0.06,8150.14,3.82,Los Angeles,English,1267,6003,10,Fashionistas,2022-07-20
TechCorp,Display,Women 25-34,45 days,0.07,15643.68,2.44,New York,German,109,14635,5,Outdoor Adventurers,2022-07-07
Alpha Innovations,Search,All Ages,45 days,0.11,16576.09,4.46,Miami,Mandarin,1536,19949,5,Tech Enthusiasts,2022-07-06
NexGen Systems,Display,All Ages,15 days,0.13,16796.7,6.55,New York,German,659,4684,6,Outdoor Adventurers,2022-07-15
Alpha Innovations,Influencer,Men 18-24,30 days,0.1,14893.9,2.14,Las Vegas,English,844,9111,7,Outdoor Adventurers,2022-07-23
Alpha Innovations,Display,Men 18-24,30 days,0.08,11244.25,4.27,San Francisco,Mandarin,1190,16986,7,Outdoor Adventurers,2022-07-12
DataTech Solutions,Display,Men 25-34,15 days,0.05,8124.3,3.97,Seattle,French,1713,18468,6,Foodies,2022-07-01
DataTech Solutions,Search,Women 35-44,30 days,0.05,15026.93,3.71,Las Vegas,English,1947,17183,10,Foodies,2022-07-28
Alpha Innovations,Email,Women 25-34,30 days,0.08,16158.47,3.25,Los Angeles,Mandarin,433,5137,3,Tech Enthusiasts,2022-07-19
TechCorp,Email,Women 35-44,15 days,0.08,9922.24,6.01,Washington,Mandarin,528,1464,1,Foodies,2022-07-08
Innovate Industries,Email,Men 25-34,45 days,0.03,11242.19,2.43,Las Vegas,English,1490,16464,9,Tech Enthusiasts,2022-07-13
DataTech Solutions,Search,All Ages,30 days,0.04,8239.21,6.71,Boston,English,992,6656,7,Outdoor Adventurers,2022-07-17
TechCorp,Social Media,Men 18-24,30 days,0.03,10404.33,6.77,Boston,French,648,14140,2,Foodies,2022-07-24
TechCorp,Influencer,All Ages,60 days,0.04,19650.1,5.37,Boston,English,1806,7183,3,Outdoor Adventurers,2022-07-21
DataTech Solutions,Email,All Ages,60 days,0.11,6299.69,2.14,Miami,German,666,10223,8,Fashionistas,2022-07-27
DataTech Solutions,Display,Men 18-24,30 days,0.08,10201.25,3.74,Washington,Mandarin,1712,4299,3,Tech Enthusiasts,2022-07-03
DataTech Solutions,Display,Women 25-34,60 days,0.05,8841.58,5.74,Las Vegas,Spanish,1915,12200,9,Tech Enthusiasts,2022-07-02
DataTech Solutions,Email,Women 35-44,45 days,0.02,17098.48,3.14,Nueva Orleans,German,856,8184,8,Outdoor Adventurers,2022-07-26
Alpha Innovations,Search,All Ages,45 days,0.07,16569.35,3.84,Nueva Orleans,Mandarin,1999,15023,10,Outdoor Adventurers,2022-07-02
Alpha Innovations,Email,Women 35-44,30 days,0.09,18918.67,2.27,Chicago,English,1762,17723,2,Health & Wellness,2022-07-09
Alpha Innovations,Search,Women 35-44,60 days,0.09,8529.67,2.92,Chicago,Spanish,1684,3243,8,Tech Enthusiasts,2022-07-06
NexGen Systems,Influencer,Women 25-34,30 days,0.05,12994.77,6.18,San Francisco,Mandarin,1634,9295,4,Outdoor Adventurers,2022-07-19
NexGen Systems,Influencer,Women 25-34,30 days,0.11,9764.84,4.87,Miami,Mandarin,168,15085,4,Outdoor Adventurers,2022-07-03
TechCorp,Email,All Ages,15 days,0.12,17461.76,3.08,Seattle,German,1304,9582,8,Fashionistas,2022-07-27
TechCorp,Display,Women 25-34,60 days,0.14,15836.73,7.34,Miami,Spanish,1527,8818,5,Tech Enthusiasts,2022-07-07
DataTech Solutions,Display,All Ages,15 days,0.02,14332.37,3.99,San Francisco,French,1722,13132,4,Health & Wellness,2022-07-19
DataTech Solutions,Influencer,Men 25-34,15 days,0.14,9212.09,6.48,Las Vegas,German,706,1189,9,Health & Wellness,2022-07-08
NexGen Systems,Email,Women 35-44,30 days,0.01,8371.89,3.95,Nueva Orleans,German,1380,1022,3,Outdoor Adventurers,2022-07-04
Alpha Innovations,Social Media,Men 25-34,15 days,0.11,13971.26,5.37,Boston,Mandarin,1537,12281,4,Tech Enthusiasts,2022-07-18
NexGen Systems,Influencer,Men 18-24,45 days,0.03,13329.82,3.82,New York,Mandarin,1806,11702,2,Foodies,2022-07-18
Innovate Industries,Display,All Ages,60 days,0.02,7355.59,6.51,Nueva Orleans,German,1410,10611,9,Fashionistas,2022-07-07
DataTech Solutions,Influencer,All Ages,30 days,0.14,12214.38,2.58,Las Vegas,English,1719,5189,9,Tech Enthusiasts,2022-07-26
